Id,SalePrice
1461,121835.11388332132
1462,155746.76907253542
1463,180627.32112304203
1464,198184.97057506692
1465,198346.389381213
1466,170726.29978821604
1467,174251.54978724237
1468,170007.25556364912
1469,194584.47199028375
1470,123726.50934176566
1471,182068.98779168923
1472,99015.05702560236
1473,95405.77888610392
1474,146756.50868970895
1475,115202.25377485792
1476,369400.5985797503
1477,255969.1636949734
1478,319622.91182622645
1479,324570.10123872425
1480,487256.8505910533
1481,333975.77157632203
1482,227614.44859041413
1483,169121.45066042457
1484,170918.96296710672
1485,195370.562176697
1486,192291.4995493022
1487,329837.8030761819
1488,233351.25118107794
1489,196316.12295692234
1490,225737.8917652602
1491,194250.53026688166
1492,88528.98040503639
1493,189495.63509088784
1494,280108.11164668034
1495,288669.880487103
1496,234131.92530574714
1497,174775.26701349643
1498,175559.05282665184
1499,165129.29460840783
1500,161034.80093192885
1501,171033.82778636093
1502,151621.98038301134
1503,282480.73569203034
1504,239336.31433909156
1505,222139.2233881945
1506,188904.00803987423
1507,234575.25398551108
1508,201195.582342035
1509,165872.5990440481
1510,144126.23425258265
1511,143926.87535446254
1512,165578.2766523712
1513,150677.448349685
1514,141992.17188961757
1515,205160.87892411806
1516,146360.94376844328
1517,158846.8172680076
1518,132531.33643521075
1519,205320.62106385507
1520,131220.66966436562
1521,132311.34019850782
1522,167779.79803320376
1523,112556.52419794557
1524,125100.37812395481
1525,117543.56175492419
1526,109635.83753281647
1527,102659.69517095019
1528,137665.54210619174
1529,148904.1288434045
1530,185992.63818491015
1531,112591.52347965614
1532,101708.21379811155
1533,142189.7719367115
1534,120495.62068846115
1535,153958.98235882696
1536,113585.71526108967
1537,70282.67174353899
1538,139345.1152282497
1539,188540.37346886145
1540,86040.85671039869
1541,148951.3626871424
1542,145689.48008126562
1543,206197.42674562288
1544,80095.86767033082
1545,109076.01364484098
1546,139700.49820761225
1547,139793.94083157537
1548,136433.92399027583
1549,119950.37420871024
1550,135399.77410695681
1551,104224.94297460721
1552,136720.7113938
1553,139657.06089019982
1554,115942.00646299678
1555,173488.20562157047
1556,90634.27449908628
1557,96057.37726512778
1558,98875.69703950282
1559,87073.77657186237
1560,144421.8434679463
1561,111468.5254643217
1562,133435.40391081866
1563,122916.89380045458
1564,155472.88764387197
1565,148350.10192145215
1566,241530.3367142281
1567,78390.18711764953
